,fr
MISSION_2_OFFICER_BARRACKS,"Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price."
MISSION_2_OFFICER_TIPOFF,"Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective."
MISSION_2_OFFICER_BARRACKS_CAPTURED_1,"Great work, Sir."
MISSION_2_OFFICER_BARRACKS_CAPTURED_2,"Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield."
MISSION_2_OFFICER_BARRACKS_CAPTURED_3,"There were some recruits waiting in the barracks. They have joined us."
MISSION_2_OFFICER_BARRACKS_TIP_1,"Deploying more units will cost us resources, same as moving them. Spend them wisely."
MISSION_2_OFFICER_BARRACKS_TIP_2,"In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first."
MISSION_2_OFFICER_BARRACKS_TIP_3,"You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements."
MISSION_2_OFFICER_ALARM,"They have found us! Raise the alarm!"
MISSION_DESR_RIOTS,"L'actuel gouvernement est arrivé au pouvoir en attaquant notre leader. Et ils osent nous qualifier de rebelles ! Les nouvelles autorités sont encore faibles. Nous devons saisir cette occasion pour occuper les administrations. Nos forces attendent vos ordres !"
MISSION_3_OFFICER_INTRO_1,"Welcome, Commander. Apologies for the delays."
MISSION_3_OFFICER_INTRO_2,"We finally managed to set up a camp. Wasn't easy to gather troops after we lost controll of the army."
MISSION_3_OBJECTIVE,"Our objective is to take the City Hall. Local defense forces are still disorganized. We should use this window of opportunity."
MISSION_3_TANK_1,"Our militiants managed to steal a tank from nearby military base. It won't be long before someone notices."
MISSION_3_TANK_2,"Tanks are great at dealing with infantry - this one will be a valuble asset in this mission. Still, we need more if we are to succeed."
MISSION_3_TANK_FACTORY,"There is a tank fabrication facility nearby. Take it before the enemy uses those heavy units to stop our assault."
MISSION_3_OFFICER_FACTORY_CAP_1,"Great work, Commander. Nothing will stop us now."
MISSION_3_OFFICER_FACTORY_CAP_2,"Local defense forces ordered a tank recently. I guess it is ours now."
MISSION_3_OFFICER_FACTORY_AI,"Commander, this is not good! Local forces have taken active controll of this factory. We need to re-take it, or we will face a lot more tanks that we can handle."
MISSION_DESR_BASE_ASSAULT,"Notre récente victoire nous a donné confiance, mais nous ne devons pas en rester là. La base à proximité possède de l'équipement que nous pourrions utiliser ! Nous devons attaquer avant qu'ils réalisent qu'ils ne contrôlent plus cette région."
MISSION_4_OFFICER_INTRO_1,"Great work on securing a foothold Commander, but our work here is not yet done."
MISSION_4_OFFICER_INTRO_2,"If we are to secure our presence in this region, we have to take over the military base."
MISSION_4_OFFICER_INTRO_3,"Armoured units are available. Expect the enemy base to deploy tanks of their own!"
MISSION_4_OFFICER_LANDLINE_1,"We've managed to cut off their landline communications, Commander. We should be able to overwhelm them before they can even call for help."
MISSION_4_OFFICER_LANDLINE_2,"Still, we should not waste any time. They can still use comm towers."
MISSION_4_OFFICER_HELP_1,"This is perimeter base! We are under attack! Repeat, we are under attack!"
MISSION_4_OFFICER_HELP_2,"This is not good, they managed to restore communications. We have to prepare for reinforcements."
MISSION_4_RAPID_RESPONSE,"Rapid response unit reporting in!"
MISSION_4_FORWARD_BARRACK,"Capturing these forward barracks would allow us to bring soldiers to the front line more easily."
MISSION_4_GUARD_WARN,"Rebels are getting close!"
MISSION_4_COMM_CUT_1,"With both towers near their HQ we knocked out their comms completely."
MISSION_4_COMM_CUT_2,"What the... ? Command, come in. Anyone?"
MISSION_4_COMM_CUT_3,"Good luck with that."
MISSION_DESR_PENINSULA,"Ces derniers jours de combat ont été payants. Nous avons maintenant le soutien de notre puissant pays voisin. Nous sommes prêts à expulser les usurpateurs de la péninsule. Ils n'auront aucun moyen de la reprendre et ce sera une belle victoire !"
MISSION_5_OFFICER_INTRO_1,"Government forces throughout the peninsula are busy fighting local militia."
MISSION_5_OFFICER_INTRO_2,"With a cooridnated push, we can take controll of this land before they can re-organize."
MISSION_5_OFFICER_INTRO_3,"This base safeguards a strategic route connecting the peninsula with the rest of the country. Taking controll of this facility will cut off all remaining army, forcing them to surrender."
MISSION_5_AIRPORT_NEAR_1,"This is an airforce outpost meant to support the main base. Defences seem to be minimal, they did not expect an attack from this direction."
MISSION_5_AIRPORT_NEAR_2,"We should claim this building for additional air support."
MISSION_5_AIRPORT_CAP_1,"There is more equipment here, than we expected. They probably regret loosing this outpost already."
MISSION_5_AIRPORT_CAP_2,"Attack helicopter reporting for duty."
MISSION_5_FLANK,"With the right flank secured, we were able to bring in some reinforcements."
MISSION_5_BLOCK_1,"You will not get away with this, traitors!"
MISSION_5_BLOCK_2,"It is you, who betrayed our great President! Arrest him!"
MISSION_DESR_RECAPTURE,"La situation se détériore rapidement. Nous devons les repousser, sinon nous perdrons tout ce que nous avons gagné jusqu'ici. Nous sommes prêts à libérer la ville où se trouvent les rebelles. Montrons leurs qu'ils ne font pas le poids face à nous."
MISSION_DESR_BASE_DEFENCE,"Alerte ! Les rebelles attaquent une de nos bases militaires à l'est du pays ! Nous devons les empêcher de capturer une autre de nos positions stratégiques. Défendez la base et éliminez les forces rebelles dans la région."
MISSION_DESR_AIRPORT_PT_1,"Nos combats contre les forces gouvernementales ne se déroulent pas aussi bien que prévu. Nous devons montrer au monde que nous ne baissons cependant pas les bras. L'aéroport voisin n'est pas stratégique mais sa prise sera un signe de notre puissance !"
MISSION_DESR_AIRPLANE,"Grâce à l'équipement de l'aéroport, nous avons intercepté un message signalant un important avion militaire. Nous avons trouvé une zone de tir idéale pour lancer un missile et le descendre, mais elle est gardée par les ennemis. À l'attaque !"
MISSION_DESR_FIELD_COMMAND,"Les séparatistes viennent de détruire un avion civil, des centaines de personnes sont mortes. Nous devons les stopper ! Nos éclaireurs ont trouvé leur QG local. Nos ressources sont limitées mais nous rassemblerons des troupes dans la ville voisine."
MISSION_DESR_AIRPORT_PT_2,"Les forces rebelles se sont dispersées après la perte de leur QG local. L'aéroport est toujours fortement gardé mais ils ne recevront pas de renforts de sitôt. Nos éclaireurs ont mis en place une petite base. Nous devons attaquer avant qu'ils ne s'organisent."
MISSION_DESR_CONVOY,"De nombreuses personnes souffrent en ces temps de guerre. Notre voisin voudrait nous envoyer nourriture et médicaments, mais le gouvernement ne croit pas à nos bonnes intentions et ne laisse pas passer le convoi. Nous devons libérer le passage !"
MISSION_DESR_CRASH_SITE,"L'avion que nous avons abattu s'est écrasé dans la forêt. Personne ne doit pouvoir rejoindre le site du crash car sans les débris, personne ne pourra savoir qui l'a détruit ni comment. Les enquêteurs internationaux sont en route, nous devons les arrêter."
MISSION_DESR_AIRPORT_PT_3,"Cela fait des mois que nous nous battons pour ce tas de ruines qu'est maintenant cet aéroport, son terminal, sa tour de contrôle, la ville avoisinante... Nous devons malgré tout le tenir car il montre que nous contrôlons la situation !"
MISSION_TITLE_MAYDAY_SQUARE,"Square MayDay"
MISSION_TITLE_EASTERN_CITY,"Ville de l'Est"
MISSION_TITLE_RIOTS,"Rebelles"
MISSION_TITLE_BASE_ASSAULT,"Assaut sur la base"
MISSION_TITLE_PENINSULA,"Péninsule"
MISSION_TITLE_RECAPTURE,"Reprise"
MISSION_TITLE_BASE_DEFENCE,"Défense de la base"
MISSION_TITLE_AIRPORT_PT_1,"Aéroport Pt.1"
MISSION_TITLE_AIRPLANE,"Avion"
MISSION_TITLE_FIELD_COMMAND,"Ordre de bataille"
MISSION_TITLE_AIRPORT_PT_2,"Aéroport Pt.2"
MISSION_TITLE_CONVOY,"Convoi"
MISSION_TITLE_CRASH_SITE,"Zone de crash"
MISSION_TITLE_AIRPORT_PT_3,"Aéroport Pt.3"
