,es
MISSION_3_OFFICER_FACTORY_CAP_2,"Las fuerzas de defensa locales ordenaron un tanque recientemente. Supongo que ahora es nuestro."
MISSION_3_OFFICER_FACTORY_AI,"Comandante, ¡esto no es bueno! Las fuerzas locales han tomado el control de esta fábrica. Necesitamos recuperarla, o nos enfrentaremos a muchos más tanques de los que podemos soportar."
MISSION_TITLE_BASE_ASSAULT,"Asalto a la base"
MISSION_DESR_BASE_ASSAULT,"Nuestra reciente victoria nos dio un punto de apoyo, pero no podemos detenernos ahí. ¡Una base militar cercana dispone de muchos equipos que podríamos usar! Tenemos que atacar antes de que se den cuenta de que ya no tienen el control de esta región."
MISSION_4_OFFICER_INTRO_1,"Gran trabajo al asegurar esta zona Comandante, pero nuestro trabajo aquí aún no ha terminado."
MISSION_4_OFFICER_INTRO_2,"Si queremos asegurar nuestra presencia en esta región, tenemos que tomar el control de la base militar."
MISSION_4_OFFICER_INTRO_3,"Las unidades blindadas están disponibles. ¡Cuenta con que la base enemiga despliegue sus propios tanques!"
MISSION_4_OFFICER_LANDLINE_1,"Hemos logrado cortar sus comunicaciones terrestres, Comandante. Deberíamos poder aplastarlos antes de que puedan siquiera pedir ayuda."
MISSION_4_OFFICER_LANDLINE_2,"Aún así, no deberíamos perder el tiempo. Todavía pueden usar las torres de comunicaciones."
MISSION_4_OFFICER_HELP_1,"¡Este perímetro pertenece a la base! ¡Estamos bajo ataque! ¡Repito, estamos bajo ataque!"
MISSION_4_OFFICER_HELP_2,"Esto no es bueno, han logrado restaurar las comunicaciones. Tenemos que prepararnos para la llegada de refuerzos."
MISSION_4_RAPID_RESPONSE,"¡Unidad de respuesta rápida informando!"
MISSION_4_FORWARD_BARRACK,"La captura de estos cuarteles nos permitiría llevar llevar a los soldados a la línea del frente más fácilmente."
MISSION_4_GUARD_WARN,"¡Los rebeldes se están acercando!"
MISSION_4_COMM_CUT_1,"Con ambas torres cerca de su Cuartel General cancelaremos sus comunicaciones por completo."
MISSION_4_COMM_CUT_2,"¿Qué...? Comando, adelante. ¿Alguien?"
MISSION_4_COMM_CUT_3,"Buena suerte."
MISSION_TITLE_PENINSULA,"Península"
MISSION_DESR_PENINSULA,"Los días de lucha finalmente están dando sus frutos. Ahora tenemos el apoyo de nuestro fuerte país vecino. Estamos listos para expulsar a los usurpadores de la península. Cuando lo logremos, no habrá forma de que la vuelvan a tomar. ¡Esta será nuestra mayor victoria!"
MISSION_5_OFFICER_INTRO_1,"Las fuerzas gubernamentales en toda la península están ocupadas luchando contra la milicia local."
MISSION_5_OFFICER_INTRO_2,"Con un impulso coordinado, podemos tomar el control de esta tierra antes de que puedan reorganizarse."
MISSION_5_OFFICER_INTRO_3,"Esta base protege una ruta estratégica que conecta la península con el resto del país. Tomar el control de esta instalación cortará todo el ejército restante, obligándolos a rendirse."
MISSION_5_AIRPORT_NEAR_1,"Este es un puesto avanzado de la fuerza aérea destinado a dar soporte a la base principal. Las defensas parecen ser mínimas, no esperaban un ataque desde esta dirección."
MISSION_5_AIRPORT_NEAR_2,"Deberíamos reclamar este edificio para apoyo aéreo adicional."
MISSION_5_AIRPORT_CAP_1,"Aquí hay más equipamiento de lo que esperábamos. Probablemente se arrepientan de perder este puesto avanzado."
MISSION_5_AIRPORT_CAP_2,"Helicóptero de ataque informando."
MISSION_5_FLANK,"Con el flanco derecho asegurado, pudimos traer algunos refuerzos."
MISSION_5_BLOCK_1,"¡No os saldréis con la vuestra, traidores!"
MISSION_5_BLOCK_2,"¡Eres tú quien traicionó a nuestro gran presidente! ¡Arréstenlo!"
MISSION_TITLE_RECAPTURE,"Reconquista"
MISSION_DESR_RECAPTURE,"La situación se está deteriorando rápidamente. Tenemos que empezar a retroceder o perderemos todo nuestro progreso en este conflicto. Estamos listos para liberar la ciudad, donde los rebeldes comenzaron sus operaciones. Permítanos mostrarles, y la gente, que los simples bandidos no son rival para nuestro ejército."
MISSION_6_INTRO_1,"Bienvenido Señor, Como ya sabrá, los recientes reveses nos han puesto en una posición desfavorable. Tenemos que comenzar a retroceder."
MISSION_6_INTRO_2,"Nuestra inteligencia sugiere que esta ciudad es donde todo comenzó. La actividad rebelde parece haber disminuido desde el ataque inicial - probablemente continuaron."
MISSION_6_INTRO_3,"Aún así, no debemos subestimar la guarnición estacionada aquí. La liberación de esta ciudad será un paso importante en nuestra campaña."
MISSION_6_INTRO_4,"Señor, la base de operaciones está funcionando."
MISSION_6_INTRO_5,"Bien."
MISSION_6_INTRO_6,"Soporte aéreo reportando."
MISSION_6_INTRO_7,"Tenemos una cantidad decente de unidades terrestres, aunque nuestras capacidades aéreas son limitadas para este combate. Usa bien estos activos."
MISSION_6_APP_BASE,"Señor, esto parece un campamento rebelde abandonado. Parece que no tenían forma de mover todo este equipo, así que simplemente lo abandonaron."
MISSION_6_APP_TOWERS_1,"Hay dos torres de comunicaciones en el flanco izquierdo."
MISSION_6_APP_TOWERS_2,"Puede haber algunos emplazamientos de AA en el área, pero si capturamos esas torres, podremos guiar más apoyo aéreo de forma segura."
MISSION_6_APP_TOWERS_3,"El equipo antitanque ha llegado."
MISSION_6_PATROL_1,"Escuadrón de patrulla informando."
MISSION_6_PATROL_2,"No hay descanso, ¡estamos bajo ataque!"
MISSION_6_RED_HQ_1,"¡Estamos perdiendo terreno! Advierte al Comandante"
MISSION_6_RED_HQ_2,"¡Sí Señor!"
MISSION_6_RED_HQ_3,"Se escapó. No importa, centrémonos en la misión que tenemos entre manos."
MISSION_TITLE_BASE_DEFENCE,"Defensa de la base"
MISSION_DESR_BASE_DEFENCE,"¡Alerta! ¡Los rebeldes están atacando una de nuestras bases militares en la región oriental! No podemos permitir que capturen más de nuestros bienes. ¡Defiende la base y destruye las fuerzas rebeldes en la región!"
MISSION_7_INTRO_1,"¡Alarma! ¡Tropas no identificadas detectadas cerca del perímetro de la base!"
MISSION_7_INTRO_2,"¡Nos vieron! ¡Comenzar el ataque!"
MISSION_7_INTRO_3,"¡Señor! Tuvimos informes de movimientos enemigos en el área, pero no esperábamos que se organizaran tan rápido."
MISSION_7_INTRO_4,"¡Están tomando los barracones auxiliares! La fábrica de tanques probablemente sea atacada también. Tenemos que proteger nuestros flancos."
MISSION_7_LEFT_CLAIMED,"Flanco izquierdo seguro"
MISSION_7_RIGHT_CLAIMED,"Flanco derecho seguro."
MISSION_7_TRAP,"¡Te tenemos!"
MISSION_7_BASE_1,"Podrías pensar que estás ganando, pero esto es solo un pequeño revés. ¡Volveremos, y en mayor cantidad!"
MISSION_7_BASE_2,"Ya lo veremos."
MISSION_7_TOWERS_1,"Hemos logrado capturar la línea de comunicación enemiga e interceptar alguna charla sobre planes para atacar un aeropuerto."
MISSION_7_TOWERS_2,"Esto no puede ser bueno..."
MISSION_TITLE_AIRPORT_PT_1,"Aeropuerto Parte.1"
MISSION_DESR_AIRPORT_PT_1,"La lucha entre nuestra milicia y las fuerzas gubernamentales no está yendo tan bien como esperábamos. Necesitamos mostrarle al mundo que aún no nos damos por vencidos. El aeropuerto cercano no es de gran importancia estratégica, ¡pero capturarlo será nuestra demostración de poder!"
MISSION_8_INTRO_1,"El campamento delantero está listo, Comandante."
MISSION_8_INTRO_2,"Comandante, vámonos."
MISSION_8_INTRO_3,"Este es el aeropuerto local. No es de una gran importancia estratégica, pero perderlo causará temor en los corazones de los enemigos."
MISSION_8_FACTORIES,"Reconocimiento reporta múltiples fábricas de tanques en el área. Esos helicópteros serán realmente útiles."
MISSION_8_APP_AIRPORT,"Objetivo marcado."
MISSION_8_CAP_AIRPORT_1,"Objetivo alcanzado."
MISSION_8_CAP_AIRPORT_2,"Ahora limpiemos esta área de unidades enemigas, no podemos arriesgarnos a perder esta terminal."
MISSION_8_BUY_HELI_1,"Vamos a limpiar esos tanques."
MISSION_8_BUY_HELI_2,"Comandante, mientras buscábamos en el aeropuerto, hemos encontrado algunos documentos dejados por los oficiales enemigos."
MISSION_8_BUY_HELI_3,"Es algún tipo de horario de vuelo, probablemente para suministros militares. Haremos buen uso de esto."
MISSION_TITLE_AIRPLANE,"Avión"
MISSION_DESR_AIRPLANE,"Gracias al equipo del aeropuerto, hemos interceptado las comunicaciones sobre un importante avión militar que vuela sobre el área. Hemos identificado el lugar perfecto para lanzar misiles, pero está protegido por el enemigo. ¡Reúne fuerzas  y ponte en posición para derribar el transporte!"
MISSION_9_INTRO_1,"Si la información que adquirimos es correcta, debería de haber un avión militar volando sobre esta área pronto."
MISSION_9_INTRO_2,"Hemos identificado la mejor posición para establecer nuestro emplazamiento AA, pero actualmente está ocupado por el enemigo."
MISSION_9_INTRO_3,"Nuestro campamento aún se está desarrollando. Tenemos que capturar las instalaciones disponibles en toda la ciudad para reforzar nuestras fuerzas."
MISSION_9_TURN2_1,"El radar de largo alcance que capturamos en la península acaba de informar que está rastreando un barco que viene del oeste."
MISSION_9_TURN2_2,"Todavía tenemos mucho tiempo, pero tenemos que terminar nuestra misión antes de que termine nuestra oportunidad."
MISSION_9_TURN10_1,"El buque rastreado se está cerrando, debemos apresurarnos."
MISSION_9_TURN10_2,"También estamos rastreando un grupo de helicópteros de ataque. Podrían estar dirigiéndose hacia ti."
MISSION_9_TURN15_1,"El transporte pasará en cualquier momento. Todavía podemos atraparlo."
MISSION_9_TURN15_2,"Escuadrón Eagle listo para patrullar ... ¿Qué es esto? ¡La base esta bajo asedio! ¡Formación de ataque!"
MISSION_9_TURN18_1,"Ese avión está más allá de tu posición. Tenemos que preparar el ataque ahora."
MISSION_9_TURN20_1,"El objetivo está fuera de alcance. Hemos fallado, Comandante."
MISSION_9_APP_HQ,"Acercándose al área designada. Armas AA listas para su despliegue."
MISSION_TITLE_FIELD_COMMAND,"Field Command"
MISSION_DESR_FIELD_COMMAND,"Estos separatistas derribaron un avión civil, ¡cientos de personas murieron! ¡Su violencia tiene que parar! Nuestros exploradores han encontrado el centro de mando enemigo de esta región. Nuestros recursos son limitados, pero deberíamos poder reunir más hombres y tanques en la ciudad."
MISSION_10_INTRO_1,"¡Esos fanáticos acaban de destruir un avión civil lleno de gente! ¡Con misiles tierra-aire! ¿De dónde sacaron este tipo de equipo?"
MISSION_10_INTRO_2,"Tenemos que detener esta locura antes de que más personas sufran."
MISSION_10_INTRO_3,"Recon, ¿tienes algo para nosotros?"
MISSION_10_INTRO_4,"Centro de comando local ubicado, Señor. Intentando la infiltración..."
MISSION_10_INTRO_5,"¡No tan rápido!"
MISSION_10_INTRO_6,"¡Nos han visto! Repito..."
MISSION_10_INTRO_7,"Ahora saben que estamos aquí. Parece que tenemos que atacar esta base a la antigua usanza."
MISSION_10_TOWER_1,"Comunicaciones establecidas. Solicitando copia de seguridad."
MISSION_10_TOWER_2,"¿Alguien llamó?"
MISSION_10_HQ_1,"Acercándose a la posición del enemigo. Están rodeados de montañas, ¡no tienen a donde ir!"
MISSION_10_HQ_2,"¡Refuerzos enemigos detectados!"
MISSION_TITLE_AIRPORT_PT_2,"Aeropuerto Parte.2"
MISSION_DESR_AIRPORT_PT_2,"Las fuerzas rebeldes se han dispersado después de perder su cuartel general local. El aeropuerto todavía está fuertemente vigilado, pero no recibirán ningún refuerzo nuevo en el corto plazo. Nuestro equipo de reconocimiento logró establecer una pequeña base. ¡Necesitamos atacar antes de que puedan levantarse!"
MISSION_11_INTRO_1,"Bienvenido de nuevo, señor. Finalmente tenemos luz verde para volver a tomar ese aeropuerto."
MISSION_11_INTRO_2,"Esta zona se encuentra altamente disputada. Afortunadamente, nuestras recientes victorias obligaron a nuestro enemigo a reagruparse, por lo que no pueden esperar ayuda en un corto plazo."
MISSION_11_RECON_1,"Esto es recon. Hemos localizado el Cuartel General del enemigo. Parece que están fortificando su posición."
MISSION_11_RECON_2,"Muevete antes de que nos vean."
MISSION_11_CAP_TOWER,"Señor, el camino del bosque está bloqueado. Parece que podríamos limpiarlo si trajéramos un tanque aquí."
MISSION_11_TANK,"¡Cargar el cañón! ¡Fuego!"
MISSION_TITLE_CONVOY,"Convoy"
MISSION_DESR_CONVOY,"En este tiempo de guerra muchas personas están sufriendo. Nuestro amable vecino se ofreció a enviarnos un convoy humanitario con alimentos, agua y medicamentos. El gobierno no cree en nuestras buenas intenciones y no permitirá que los camiones pasen. ¡Tenemos que despejar el camino!"
MISSION_12_INTRO_1,"Los transportes estarán listos muy pronto."
MISSION_12_INTRO_2,"La ciudad cercana realmente necesita lo que hay en estos camiones. Tenemos que asegurar el camino."
MISSION_12_INTRO_3,"Capturar y mantener estas torres en el camino nos debe permitir ir con seguridad."
MISSION_12_CROSSROAD_1,"Este paso de montaña es vital para nuestra operación. Tenemos que mantener esta posición."
MISSION_12_CROSSROAD_2,"La base enemiga va a presionarnos desde el flanco. Captúrala si puedes, pero no comprometa nuestra misión, Comandante."
MISSION_12_TOWERS_1,"Felicitaciones por asegurar la ruta. Ahora deberíamos poder coordinar nuestras fuerzas y defender el convoy."
MISSION_12_TOWERS_2,"No nos detendrán."
MISSION_TITLE_CRASH_SITE,"Lugar del accidente"
MISSION_DESR_CRASH_SITE,"El avión que atacamos se hundió en lo profundo del bosque. No debemos permitir que nadie llegue al lugar del accidente. Sin los restos, nadie podrá probar por quién y cómo fue destruido. Los investigadores internacionales están en camino, tenemos que detenerlos."
MISSION_13_INTRO_1,"Comandante, asumo que ya escuchó sobre nuestro pequeño ... error."
MISSION_13_INTRO_2,"Resulta que el transporte militar que derribamos no era un buque militar."
MISSION_13_INTRO_3,"Hemos logrado bloquear el sitio del accidente por ahora, pero los investigadores internacionales están en camino."
MISSION_13_INTRO_4,"Asegure esta posición, Comandante."
MISSION_13_TURN3_1,"Columna blindada, avance."
MISSION_13_TURN3_2,"Apártate de nuestro camino, y podríamos dejarte retirar tus fuerzas ... por ahora."
MISSION_13_TURN3_3,"Guarda tu aliento."
MISSION_13_HALF_WAY,"Señor, hemos hecho un reconocimiento de un aeródromo cerca del Cuartel General enemigo. Hay que tener cuidado al avanzar con los tanques."
MISSION_TITLE_AIRPORT_PT_3,"Aeropuerto Parte.3"
MISSION_DESR_AIRPORT_PT_3,"Han pasado meses desde que empezamos a luchar por este miserable aeropuerto. Ya casi no es un aeropuerto, con todo reducido a escombros: la terminal, la torre, la ciudad circundante. Aun así, sigue siendo un símbolo de quién tiene la ventaja aquí, ¡y debería ser nuestro!"
MISSION_14_INTRO_1,"Mis disculpas, Comandante. Perdimos el aeropuerto que tenías asegurado anteriormente. El ataque enemigo fue rápido y devastador."
MISSION_14_INTRO_2,"No tenemos mucho pie aquí. Tomar el control de los barracones que se encuentran al otro lado del bosque es un buen comienzo."
MISSION_14_INTRO_3,"He enviado a un par de escuadrones pequeños para explorar el campo de batalla."
MISSION_14_TURN2_1,"Tenemos algunos informes iniciales."
MISSION_14_TURN2_2,"El antiguo campamento está en ruinas, aunque algunas armas ligeras para la infantería pueden salvarse para entrenar más tropas."
MISSION_14_TURN2_3,"La fábrica de tanques ha sido abandonada cuando perdió energía, pero deberíamos poder restaurar las funciones básicas."
MISSION_14_TURN3_1,"La mayor parte de la ciudad está completamente destruida."
MISSION_14_TURN3_2,"Los edificios del aeropuerto han sido volados, no queda mucho en ellos. Los hangares militares parecen bastante intactos, deberíamos poder usarlos."
MISSION_14_TURN4_1,"Tenemos confirmación visual de uno de los campamentos enemigos. Parece que su centro de mando no está aquí."
MISSION_14_TURN4_2,"Creo que nos vieron, retrocediendo."
MISSION_14_TURN4_3,"¡Es una trampa!"
MISSION_14_TRAP_1,"Comandante, hemos encontrado trampas explosivas en la mayoría de los edificios. Realmente no querían que los capturáremos."
MISSION_14_TRAP_2,"Parece que las explosiones los alertaron. Se espera mayor resistencia."
