"","en","zh-CN","de","es","fr","ja","pl","ru"
"MISSION_10_HQ_1","Closing in on enemy position. They are surrounded by mountains, nowhere to go!","Closing in on enemy position. They are surrounded by mountains, nowhere to go!","Closing in on enemy position. They are surrounded by mountains, nowhere to go!","Acercándose a la posición del enemigo. Están rodeados de montañas, ¡no tienen a donde ir!","Closing in on enemy position. They are surrounded by mountains, nowhere to go!","Closing in on enemy position. They are surrounded by mountains, nowhere to go!","Zbliżamy się do bazy wroga. Są otoczeni górami, nie mają jak uciec.","Closing in on enemy position. They are surrounded by mountains, nowhere to go!"
"MISSION_10_HQ_2","Enemy reinforcements detected!","Enemy reinforcements detected!","Enemy reinforcements detected!","¡Refuerzos enemigos detectados!","Enemy reinforcements detected!","Enemy reinforcements detected!","Wykryliśmy dodatkowe siły wroga!","Enemy reinforcements detected!"
"MISSION_10_INTRO_1","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?","¡Esos fanáticos acaban de destruir un avión civil lleno de gente! ¡Con misiles tierra-aire! ¿De dónde sacaron este tipo de equipo?","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?","Ci fanatycy właśnie zestrzelili samolot pełen cywili! Rakietami ziemia-powietrze! Skąd mają taki sprzęt?","Those fanatics just destroyed a civilian plane full of people! With ground-to-air missiles! Where did they even got this kind of equipment?"
"MISSION_10_INTRO_2","We have to stop this madness before more people suffer.","We have to stop this madness before more people suffer.","We have to stop this madness before more people suffer.","Tenemos que detener esta locura antes de que más personas sufran.","We have to stop this madness before more people suffer.","We have to stop this madness before more people suffer.","Musimy zatrzymać to szaleństwo zanim ucierpi więcej niewinnych ludzi.","We have to stop this madness before more people suffer."
"MISSION_10_INTRO_3","Recon, do you have anything for us?","Recon, do you have anything for us?","Recon, do you have anything for us?","Recon, ¿tienes algo para nosotros?","Recon, do you have anything for us?","Recon, do you have anything for us?","Zwiad, macie coś do zaraportowania?","Recon, do you have anything for us?"
"MISSION_10_INTRO_4","Local command center located, Sir. Attempting infiltration...","Local command center located, Sir. Attempting infiltration...","Local command center located, Sir. Attempting infiltration...","Centro de comando local ubicado, Señor. Intentando la infiltración...","Local command center located, Sir. Attempting infiltration...","Local command center located, Sir. Attempting infiltration...","Namierzyliśmy lokalne centrum dowodzenia. Rozpoczynamy infiltrację...","Local command center located, Sir. Attempting infiltration..."
"MISSION_10_INTRO_5","Not so fast!","Not so fast!","Not so fast!","¡No tan rápido!","Not so fast!","Not so fast!","Nie tak szybko!","Not so fast!"
"MISSION_10_INTRO_6","We have been spotted! I repeat...","We have been spotted! I repeat...","We have been spotted! I repeat...","¡Nos han visto! Repito...","We have been spotted! I repeat...","We have been spotted! I repeat...","Zostaliśmy zauważeni! Powtarzam...","We have been spotted! I repeat..."
"MISSION_10_INTRO_7","Now they know we're here. Looks like we have to assault this base old-fashioned way.","Now they know we're here. Looks like we have to assault this base old-fashioned way.","Now they know we're here. Looks like we have to assault this base old-fashioned way.","Ahora saben que estamos aquí. Parece que tenemos que atacar esta base a la antigua usanza.","Now they know we're here. Looks like we have to assault this base old-fashioned way.","Now they know we're here. Looks like we have to assault this base old-fashioned way.","Wiedzą już, że tu jesteśmy. Looks like we have to assault this base old-fashioned way.","Now they know we're here. Looks like we have to assault this base old-fashioned way."
"MISSION_10_TOWER_1","Comms established. Requesting backup.","Comms established. Requesting backup.","Comms established. Requesting backup.","Comunicaciones establecidas. Solicitando copia de seguridad.","Comms established. Requesting backup.","Comms established. Requesting backup.","Nawiązaliśmy komunikację. Prosimy o posiłki.","Comms established. Requesting backup."
"MISSION_10_TOWER_2","Somebody called?","Somebody called?","Somebody called?","¿Alguien llamó?","Somebody called?","Somebody called?","Ktoś dzwonił?","Somebody called?"
"MISSION_11_CAP_TOWER","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here.","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here.","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here.","Señor, el camino del bosque está bloqueado. Parece que podríamos limpiarlo si trajéramos un tanque aquí.","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here.","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here.","Generale, przeprawa przez las została zablokowana. Wygląda na to, że byli byśmy w stanie oczyścić drogę, jeżeli dojedziemy tu czołgami.","Sir, the forest road is blocked. It looks like we could clear it out if we brought a tank here."
"MISSION_11_INTRO_1","Welcome back, Sir.  We have finally got a green light on re-taking that airport.","Welcome back, Sir.  We have finally got a green light on re-taking that airport.","Welcome back, Sir.  We have finally got a green light on re-taking that airport.","Bienvenido de nuevo, señor. Finalmente tenemos luz verde para volver a tomar ese aeropuerto.","Welcome back, Sir.  We have finally got a green light on re-taking that airport.","Welcome back, Sir.  We have finally got a green light on re-taking that airport.","Witamy spowrotem, Generale. W końcu pozwolono nam rozpocząć operację odbicia lotniska.","Welcome back, Sir.  We have finally got a green light on re-taking that airport."
"MISSION_11_INTRO_2","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon.","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon.","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon.","Esta zona se encuentra altamente disputada. Afortunadamente, nuestras recientes victorias obligaron a nuestro enemigo a reagruparse, por lo que no pueden esperar ayuda en un corto plazo.","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon.","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon.","Walka o ten teren jest zażarta. Na szczęście nasze ostatnie zwycięśtwo zmusiło wroga do przegrupowania się, więc nie mogę spodziewać się w najbliższym czasie żadnych posiłków.","This area is highly contested. Luckily, our recent victories forced our foe to re-group, so they can't expect help anytime soon."
"MISSION_11_RECON_1","This is recon. We have located enemy HQ. Looks like they are fortifying their position.","This is recon. We have located enemy HQ. Looks like they are fortifying their position.","This is recon. We have located enemy HQ. Looks like they are fortifying their position.","Esto es recon. Hemos localizado el Cuartel General del enemigo. Parece que están fortificando su posición.","This is recon. We have located enemy HQ. Looks like they are fortifying their position.","This is recon. We have located enemy HQ. Looks like they are fortifying their position.","Tu oddział zwiadowczy. Odnaleźliśmy centrum dowodzenia wroga. Wygląda na to, że umacniają swoją pozycję.","This is recon. We have located enemy HQ. Looks like they are fortifying their position."
"MISSION_11_RECON_2","Moving out before they spot us.","Moving out before they spot us.","Moving out before they spot us.","Muevete antes de que nos vean.","Moving out before they spot us.","Moving out before they spot us.","Wycofujemy się zanim nas zauważą.","Moving out before they spot us."
"MISSION_11_TANK","Load main gun! Fire!","Load main gun! Fire!","Load main gun! Fire!","¡Cargar el cañón! ¡Fuego!","Load main gun! Fire!","Load main gun! Fire!","Załadować główne działo! Ognia!","Load main gun! Fire!"
"MISSION_12_CROSSROAD_1","This mountain pass is vital to our operation. We have to hold this position.","This mountain pass is vital to our operation. We have to hold this position.","This mountain pass is vital to our operation. We have to hold this position.","Este paso de montaña es vital para nuestra operación. Tenemos que mantener esta posición.","This mountain pass is vital to our operation. We have to hold this position.","This mountain pass is vital to our operation. We have to hold this position.","Ta przełęcz jest krytyczna dla naszej operacji. Musimy utrzymać tą pozycję.","This mountain pass is vital to our operation. We have to hold this position."
"MISSION_12_CROSSROAD_2","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander.","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander.","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander.","La base enemiga va a presionarnos desde el flanco. Captúrala si puedes, pero no comprometa nuestra misión, Comandante.","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander.","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander.","Siły wroga z pobliskiej bazy na pewno będą napierać z flanki. Zajmijmy tą bazę, jeżeli damy radę to zrobić bez narażania głównej misji.","The enemy base is going to put a pressure on us from the flank. Take it out if you can, but do not compromise our mission, Commander."
"MISSION_12_INTRO_1","The transports will be ready to go very soon.","The transports will be ready to go very soon.","The transports will be ready to go very soon.","Los transportes estarán listos muy pronto.","The transports will be ready to go very soon.","The transports will be ready to go very soon.","Transport będzie wkrótce gotowy do drogi.","The transports will be ready to go very soon."
"MISSION_12_INTRO_2","Nearby city really needs what's in these trucks. We have to secure the road.","Nearby city really needs what's in these trucks. We have to secure the road.","Nearby city really needs what's in these trucks. We have to secure the road.","La ciudad cercana realmente necesita lo que hay en estos camiones. Tenemos que asegurar el camino.","Nearby city really needs what's in these trucks. We have to secure the road.","Nearby city really needs what's in these trucks. We have to secure the road.","Pobliskie miasto bardzo potrzebuje zawartości tych ciężarówek. Musimy zabezpieczyć ich trasę.","Nearby city really needs what's in these trucks. We have to secure the road."
"MISSION_12_INTRO_3","Capturing and holding these towers along the way should allow us to go safely.","Capturing and holding these towers along the way should allow us to go safely.","Capturing and holding these towers along the way should allow us to go safely.","Capturar y mantener estas torres en el camino nos debe permitir ir con seguridad.","Capturing and holding these towers along the way should allow us to go safely.","Capturing and holding these towers along the way should allow us to go safely.","Zajęcie i utrzymanie tych wież powinno zapewnić nam bezpieczny przejazd.","Capturing and holding these towers along the way should allow us to go safely."
"MISSION_12_TOWERS_1","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy.","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy.","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy.","Felicitaciones por asegurar la ruta. Ahora deberíamos poder coordinar nuestras fuerzas y defender el convoy.","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy.","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy.","Gratulacje, droga jest zabezpieczona. Powinniśmy być w stanie zkoordynować nasze siły i skutecznie obronić konwój.","Congratulations on securing the route. Now we should be able to co-ordinate our forces and defend the convoy."
"MISSION_12_TOWERS_2","They will not stop us.","They will not stop us.","They will not stop us.","No nos detendrán.","They will not stop us.","They will not stop us.","Nie zatrzymają nas.","They will not stop us."
"MISSION_13_HALF_WAY","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks.","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks.","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks.","Señor, hemos hecho un reconocimiento de un aeródromo cerca del Cuartel General enemigo. Hay que tener cuidado al avanzar con los tanques.","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks.","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks.","Dowódco, napotkaliśmy niewielkie lotnisko w pobliżu bazy wroga. Musimy zachować ostrożność wysyłając nasze pojazdy opancerzone.","Sir, we have scouted an airfield near the enemy HQ. We have to be cautious when pushing with tanks."
"MISSION_13_INTRO_1","Commander, I assume you already heard about our little... mistake.","Commander, I assume you already heard about our little... mistake.","Commander, I assume you already heard about our little... mistake.","Comandante, asumo que ya escuchó sobre nuestro pequeño ... error.","Commander, I assume you already heard about our little... mistake.","Commander, I assume you already heard about our little... mistake.","Dowódco, zapewne słyszał już pan o naszej... pomyłce.","Commander, I assume you already heard about our little... mistake."
"MISSION_13_INTRO_2","As it turns out, that military transport we shot down wasn't a military vessel at all.","As it turns out, that military transport we shot down wasn't a military vessel at all.","As it turns out, that military transport we shot down wasn't a military vessel at all.","Resulta que el transporte militar que derribamos no era un buque militar.","As it turns out, that military transport we shot down wasn't a military vessel at all.","As it turns out, that military transport we shot down wasn't a military vessel at all.","Jak się okazało, zestrzelony przez nas wojskowy transport nie był samolotem militarnym.","As it turns out, that military transport we shot down wasn't a military vessel at all."
"MISSION_13_INTRO_3","We have managed to blockade the crash site for now, but international investigators are on their way.","We have managed to blockade the crash site for now, but international investigators are on their way.","We have managed to blockade the crash site for now, but international investigators are on their way.","Hemos logrado bloquear el sitio del accidente por ahora, pero los investigadores internacionales están en camino.","We have managed to blockade the crash site for now, but international investigators are on their way.","We have managed to blockade the crash site for now, but international investigators are on their way.","Udało nam się tymczasowo zablokować miejsce rozbicia samolotu, ale międzynarodowi śledczy są już w drodze.","We have managed to blockade the crash site for now, but international investigators are on their way."
"MISSION_13_INTRO_4","Secure this position, Commander.","Secure this position, Commander.","Secure this position, Commander.","Asegure esta posición, Comandante.","Secure this position, Commander.","Secure this position, Commander.","Musimy zabezpieczyć tą pozycję, Dowódco.","Secure this position, Commander."
"MISSION_13_TURN3_1","Armoured column, move forward.","Armoured column, move forward.","Armoured column, move forward.","Columna blindada, avance.","Armoured column, move forward.","Armoured column, move forward.","Kolumna opancerzona, ruszamy.","Armoured column, move forward."
"MISSION_13_TURN3_2","Get out of our way, and we might just let you withdraw your forces... for now.","Get out of our way, and we might just let you withdraw your forces... for now.","Get out of our way, and we might just let you withdraw your forces... for now.","Apártate de nuestro camino, y podríamos dejarte retirar tus fuerzas ... por ahora.","Get out of our way, and we might just let you withdraw your forces... for now.","Get out of our way, and we might just let you withdraw your forces... for now.","Zejdźcie nam z drogi, a może pozwolimy wam się bezpiecznie wycofać... tym razem.","Get out of our way, and we might just let you withdraw your forces... for now."
"MISSION_13_TURN3_3","Save your breath.","Save your breath.","Save your breath.","Guarda tu aliento.","Save your breath.","Save your breath.","Oszczędź sobie gróźb.","Save your breath."
"MISSION_14_INTRO_1","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating.","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating.","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating.","Mis disculpas, Comandante. Perdimos el aeropuerto que tenías asegurado anteriormente. El ataque enemigo fue rápido y devastador.","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating.","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating.","Przepraszam, Dowódco. Straciliśmy lotnisko, które zdobyłeś. Atak wroga był szybki i dewastujący.","My apologies, Commander. We lost the airport you previously secured. Enemy attack was switft and devastating."
"MISSION_14_INTRO_2","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start.","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start.","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start.","No tenemos mucho pie aquí. Tomar el control de los barracones que se encuentran al otro lado del bosque es un buen comienzo.","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start.","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start.","Nasza pozycja nie jest zbyt pewna. Przejęcie baraków po drugiej stronie lasu będzie dobrym początkiem.","We don't have much footing here. Taking control of the barracks building on the other side of the forest is a good start."
"MISSION_14_INTRO_3","I've dispatched a couple of small squads to scout out the battlefield ahead.","I've dispatched a couple of small squads to scout out the battlefield ahead.","I've dispatched a couple of small squads to scout out the battlefield ahead.","He enviado a un par de escuadrones pequeños para explorar el campo de batalla.","I've dispatched a couple of small squads to scout out the battlefield ahead.","I've dispatched a couple of small squads to scout out the battlefield ahead.","Rozesłałem małe oddziały rozpoznawcze, aby zbadać pole bitwy.","I've dispatched a couple of small squads to scout out the battlefield ahead."
"MISSION_14_TRAP_1","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it.","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it.","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it.","Comandante, hemos encontrado trampas explosivas en la mayoría de los edificios. Realmente no querían que los capturáremos.","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it.","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it.","Dowódco, większość zabudowań dookoła lotniska było zaminowanych. Na prawdę nie chcieli, abyśmy zajęli tą pozycję.","Commander, we have found explosive traps in most of the buildings. They really didn't want us to capture it."
"MISSION_14_TRAP_2","And it seems, that explosions alerted them. Expect increased resistance.","And it seems, that explosions alerted them. Expect increased resistance.","And it seems, that explosions alerted them. Expect increased resistance.","Parece que las explosiones los alertaron. Se espera mayor resistencia.","And it seems, that explosions alerted them. Expect increased resistance.","And it seems, that explosions alerted them. Expect increased resistance.","Wygląda na to, że eksplozja wywołała alarm. Musimy spodziewać się zwiększonego oporu.","And it seems, that explosions alerted them. Expect increased resistance."
"MISSION_14_TURN2_1","We have some initial reports.","We have some initial reports.","We have some initial reports.","Tenemos algunos informes iniciales.","We have some initial reports.","We have some initial reports.","Otrzymaliśmy wstępne raporty.","We have some initial reports."
"MISSION_14_TURN2_2","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops.","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops.","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops.","El antiguo campamento está en ruinas, aunque algunas armas ligeras para la infantería pueden salvarse para entrenar más tropas.","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops.","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops.","Stary obóz jest zrujnowany, ale jest tam trochę broni lekkiej, której możemy użyć do szkolenia piechoty.","The old encampment is ruined, though some light weapons for infantry can be salvaged for training more troops."
"MISSION_14_TURN2_3","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions.","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions.","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions.","La fábrica de tanques ha sido abandonada cuando perdió energía, pero deberíamos poder restaurar las funciones básicas.","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions.","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions.","Fabryka czołgów została opuszczona gdy zawiodła sieć energetyczna, ale powinniśmy być w stanie jej użyć.","Tank factory has been abandoned when it lost power, but we should be able to restore basic functions."
"MISSION_14_TURN3_1","Most of the city is completely ruined.","Most of the city is completely ruined.","Most of the city is completely ruined.","La mayor parte de la ciudad está completamente destruida.","Most of the city is completely ruined.","Most of the city is completely ruined.","Większość miasta jest całkowicie zrujnowana.","Most of the city is completely ruined."
"MISSION_14_TURN3_2","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them.","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them.","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them.","Los edificios del aeropuerto han sido volados, no queda mucho en ellos. Los hangares militares parecen bastante intactos, deberíamos poder usarlos.","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them.","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them.","Budynki lotniska zostały wysadzone, nie zostało zbyt wiele. Hangary wojskowe są całe, powinny nadawać się do użycia.","Airport buildings have been blown up, not much left in there. Military hangars seem fairly untouched, we should be able to use them."
"MISSION_14_TURN4_1","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here.","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here.","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here.","Tenemos confirmación visual de uno de los campamentos enemigos. Parece que su centro de mando no está aquí.","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here.","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here.","Widzimy jedno z obozowisk wroga. Wygląda na to, że centrum dowodzenia jest w innym miejscu.","We have visual confirmation on one of the enemy encampments. Looks like their command centre is not here."
"MISSION_14_TURN4_2","I think they spotted us, falling back.","I think they spotted us, falling back.","I think they spotted us, falling back.","Creo que nos vieron, retrocediendo.","I think they spotted us, falling back.","I think they spotted us, falling back.","Chyba nas dostrzegli, wycofujemy się.","I think they spotted us, falling back."
"MISSION_14_TURN4_3","It's a trap!","It's a trap!","It's a trap!","¡Es una trampa!","It's a trap!","It's a trap!","To pułapka!","It's a trap!"
"MISSION_1_GUARD","Rebel scum!","Rebel scum!","Rebel scum!","¡Escoria rebelde!","Rebel scum!","Rebel scum!","Rebelianckie ścierwo!","Rebel scum!"
"MISSION_1_OFFICER_COMMAND","Sir! Our forces are on the edge, we need you to take command!","Sir! Our forces are on the edge, we need you to take command!","Sir! Our forces are on the edge, we need you to take command!","¡Señor! Nuestras fuerzas están al límite, ¡necesitamos que tomes el mando!","Sir! Our forces are on the edge, we need you to take command!","Sir! Our forces are on the edge, we need you to take command!","Panie Generale! Nasi żołnierze robią się nerwowi, potrzebujemy rozkazów!","Sir! Our forces are on the edge, we need you to take command!"
"MISSION_1_OFFICER_DEFEND","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!","¡Señor! ¡Las fuerzas enemigas se están acercando peligrosamente a nuestro Cuartel General! ¡Debemos rechazarlos, de lo contrario corremos el riesgo de perder esta batalla!","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!","Panie Generale! Wrogie siły są niebezpiecznie blisko naszej kwatery głównej! Musimy ich odepchnąć, nie możemy ryzykować przegrania tej bitwy.","Sir! Enemy forces are getting dangerously close to our HQ! We should drive them back, otherwise we risk loosing this battle!"
"MISSION_1_OFFICER_DEPLOY","Our forces have taken significant losses. We should deploy more soldiers from our HQ.","Our forces have taken significant losses. We should deploy more soldiers from our HQ.","Our forces have taken significant losses. We should deploy more soldiers from our HQ.","Nuestras fuerzas han sufrido pérdidas significativas. Deberíamos desplegar más soldados desde nuestro Cuartel General","Our forces have taken significant losses. We should deploy more soldiers from our HQ.","Our forces have taken significant losses. We should deploy more soldiers from our HQ.","Nasze siły poniosły duże straty. Powinniśmy wysłać więcej jednostek z naszej kwatery głównej.","Our forces have taken significant losses. We should deploy more soldiers from our HQ."
"MISSION_1_OFFICER_INTRO","Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders.","长官！ 我们准备对总统宫殿的发动袭击！ 部队正在等待您的命令。","Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders.","¡Señor! ¡Estamos listos para empezar el asalto al Palacio Presidencial! Nuestras tropas están esperando tus órdenes.","Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders.","Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders.","Panie Generale! Jesteśmy gotowi do rozpoczęcia ataku na Pałac Prezydencki. Żołnierze czekają na pańskie rozkazy.","Sir! We are ready to begin the assault on the Presidental Palace! Our troops are awaiting your orders."
"MISSION_1_OFFICER_NEARBY","Palace defence HQ is close. Let's take it!","Palace defence HQ is close. Let's take it!","Palace defence HQ is close. Let's take it!","La defensa de Palacio está cerca. ¡Vamos a tomarlo!","Palace defence HQ is close. Let's take it!","Palace defence HQ is close. Let's take it!","Pałacowa kwatera główna jest już blisko. Zajmijmy ją!","Palace defence HQ is close. Let's take it!"
"MISSION_1_OFFICER_OBJECTIVE","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse.","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse.","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse.","Este es el Cuartel General enemigo. Necesitamos llevar a nuestros soldados allí y capturarlo. Sin una comandancia central, las fuerzas militares que custodian el Palacio se dispersarán.","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse.","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse.","To kwatera główna sił wroga. Musimy dotrzeć do niej naszą piechotą aby ją zająć. Bez centrum dowodzenia siły wroga broniące pałacu wycofają się.","This is the enemy HQ. We need to bring our soldiers there and capture it. Without central command, military forces guarding the Palace will disperse."
"MISSION_1_OFFICER_ORDER","Fall back soldier!","Fall back soldier!","Fall back soldier!","¡Atrás soldado!","Fall back soldier!","Fall back soldier!","Żołnierzu, wycofaj się!","Fall back soldier!"
"MISSION_1_OFFICER_TOWER_1","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field.","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field.","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field.","También deberíamos reclamar tantas torres de comunicación como sea posible para obtener más recursos para nuestras operaciones. Son cruciales, ya que tenemos que pagar el despliegue de nuevas unidades y el movimiento de aquellas que ya están en el campo.","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field.","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field.","Powinniśmy zająć tak wiele wież komunikacyjnych, ile tylko damy radę, aby zdobyć więcej zasobów. Są one krytyczne dla naszych działań, gdyż umożliwiają nam poruszanie wojsk oraz zakup nowych jednostek.","We should also claim as many communication towers as possible to gain more resources for our operations. Those are crucial, as we need to pay for the deployment of new units, and movement of those already in the field."
"MISSION_1_OFFICER_TOWER_2","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!","Nuestro enemigo está capturando torres cercanas, ¡necesitamos darnos prisa y recuperarlas para obtener ventaja!","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!","Przeciwnik zaczął już zajmowanie wież w swojej okolicy, musimy się pospieszyć i je przejąc, aby zyskać przewagę!","Our enemy is already capturing nearby towers, we need to hurry and take them back to gain advantage!"
