,de
MISSION_2_OFFICER_BARRACKS,"Our forces are limited here. We should secure these infantry barracks. This building will enable us to deploy new soldiers for a lower price."
MISSION_2_OFFICER_TIPOFF,"Sir! We just got a tip off from local civilians indicating the location of the militia HQ. This is our objective."
MISSION_2_OFFICER_BARRACKS_CAPTURED_1,"Great work, Sir."
MISSION_2_OFFICER_BARRACKS_CAPTURED_2,"Please be advised, that claiming buildings other than communication towers will require our soldier to stay inside, so make sure we always have enough infantry on the battlefield."
MISSION_2_OFFICER_BARRACKS_CAPTURED_3,"There were some recruits waiting in the barracks. They have joined us."
MISSION_2_OFFICER_BARRACKS_TIP_1,"Deploying more units will cost us resources, same as moving them. Spend them wisely."
MISSION_2_OFFICER_BARRACKS_TIP_2,"In order to deploy a unit, dedicated spawn tile next to the building must be free. If one of your units occupies that tile, you have to move it first."
MISSION_2_OFFICER_BARRACKS_TIP_3,"You can use this to your advantage as well. Blocking spawn tiles next to enemy buildings will prevent them from deploying reinforcements."
MISSION_2_OFFICER_ALARM,"They have found us! Raise the alarm!"
MISSION_TITLE_RIOTS,"Riots"
MISSION_DESR_RIOTS,"The current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!"
MISSION_TITLE_BASE_ASSAULT,"Base Assault"
MISSION_DESR_BASE_ASSAULT,"Our recent victory gave us a foothold, but we can not stop there. A nearby military base has a lot of equipment we could use! We have to attack before they realise that they are no longer in control of this region."
MISSION_TITLE_PENINSULA,"Peninsula"
MISSION_DESR_PENINSULA,"Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed, there will be no way for them to re-take it. This will be our greatest victory!"
MISSION_TITLE_RECAPTURE,"Recapture"
MISSION_DESR_RECAPTURE,"The situation is deteriorating quickly. We have to start pushing back, or we will lose all of our progress in this conflict. We are ready to liberate the city, where the rebels began their operations. Let us show them, and the people, that simple bandits are no match for our military."
MISSION_TITLE_BASE_DEFENCE,"Base Defence"
MISSION_DESR_BASE_DEFENCE,"Alert! Rebels are attacking one of our military bases in the eastern region! We can't allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region!"
MISSION_TITLE_AIRPORT_PT_1,"Airport Pt.1"
MISSION_DESR_AIRPORT_PT_1,"Fighting between our militia and the government forces is not going as well as we had hoped. We need to show the world we are not giving up just yet. The nearby airport is not of huge strategic importance, but capturing it will be our manifestation of power!"
MISSION_TITLE_AIRPLANE,"Airplane"
MISSION_DESR_AIRPLANE,"Thanks to the airport equipment, we have intercepted communications about an important military aircraft flying over the area. We have identified the perfect spot to launch missiles from, but it is guarded by the enemy. Muster your forces and get into position to shoot down the transport!"
MISSION_TITLE_FIELD_COMMAND,"Field Command"
MISSION_DESR_FIELD_COMMAND,"These separatists just shot down a civilian airplane, hundreds of people died! Their violence has to stop! Our scouts have found the enemy field command center for this region. Our resources are limited, but we should be able to gather more men and tanks in the nearby city."
MISSION_TITLE_AIRPORT_PT_2,"Airport Pt.2"
MISSION_DESR_AIRPORT_PT_2,"The rebel forces have scattered after losing their local HQ. The airport is still heavily guarded, but they will not receive any new reinforcements anytime soon. Our Recon-Team managed to set up a small base.  We need to attack before they can pick themselves up!"
MISSION_TITLE_CONVOY,"Convoy"
MISSION_DESR_CONVOY,"In this time of war many people are suffering. Our kind neighbour offered to send us a humanitarian convoy with food, water and medicine. The government does not believe in our good intentions, and won't allow the trucks to pass. We have to clear the way!"
MISSION_TITLE_CRASH_SITE,"Crash Site"
MISSION_DESR_CRASH_SITE,"The plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage, no one will be able to prove by whom and how it was destroyed. International investigators are on their way, we have to stop them."
MISSION_TITLE_AIRPORT_PT_3,"Airport Pt.3"
MISSION_DESR_AIRPORT_PT_3,"It has been months since we started fighting over this wretched airport. It is hardly an airport anymore either, with everything reduced to rubble - the terminal, the tower, the surrounding city. Even so, it is still a symbol of who has the upper hand here, and it should be ours!"
