,pt
MSG_INPUT_MATCH_CODE,"INPUT MATCH JOIN CODE"
LABEL_JOIN,JOIN
MSG_ALREADY_IN_MATCH,YOU ARE ALREADY IN THAT MATCH
MSG_FETCHING_MATCH_DETAILS,"FETCHING MATCH DETAILS. PLEASE WAIT..."
MAG_AVAILABLE_SIDE,"AVAILABLE SIDE: "
MAG_PROCEED_JOIN,"JOIN THIS MATCH?"
MSG_JOINING_MATCH_WAIT,"ENTRANDO NUMA PARTIDA. AGUARDE..."
LABEL_MATCH_CODE,"MATCH CODE: "
LABEL_YOUR_TURN,"SEU TURNO"
LABEL_ENEMY_TURN,"TURNO DO OPONENTE"
LABEL_YOU_WIN,"VOCÊ VENCEU"
LABEL_YOU_LOSE,"VOCÊ PERDEU"
LABEL_NEW_MATCH,"NOVA PARTIDA"
LABEL_MATCH_IN_PROGRESS,"EM PROGRESSO"
LABEL_MATCH_ENDED,"MATCH ENDED"
LABEL_MATCH_FORFEIT,"OPPONENT LEFT"
LABEL_MAP_CODE,"MAPA: "
LABEL_INVALID_MATCH,"PARTIDA INVÁLIDA"
LABEL_ABANDON_MATCH,"ABANDONAR PARTIDA"
MAG_ABANDON_MATCH,"ARE YOU SURE YOU WANT TO ABANDON THIS MATCH? YOU WILL NOT BE ABLE TO CONTINUE THIS GAME."
LABEL_CLEAR_SLOT,"CLEAR GAME SLOT"
MSG_CLEARING_SLOT_WAIT,"CLEARING GAME SLOT. PLEASE WAIT..."
LABEL_SHOW_REPLAY,"MOSTRAR REPLAY"
MSG_SHOW_REPLAY,"DO YOU WANT TO SEE THE REPLAY OF OPPONENTS TURN?"
LABEL_REPLAY,"REPLAY"
LABEL_SKIP,"PULAR"
LABEL_LOADING_MATCH,"LOADING MATCH"
MSG_LOADING_MATCH_WAIT,"LOADING MATCH DATA. PLEASE WAIT..."
MSG_OPPONENT_WAIT,"ESPERANDO OPONENTE..."
MSG_CHECKING_STATE,"BUSCANDO NOVOS MOVIMENTOS..."
LABEL_REPLAYING_MOVES,"REPLAYING TURN"
LABEL_REFRESH,ATUALIZAR
LABEL_MULTIPLAYER,MULTIJOGADOR
LABEL_CREATE,CRIAR
LABEL_FORFEIT,FORFEIT
LABEL_CLEAR,LIMPAR
LABEL_HELP,AJUDA
MSG_MULTIPLAYER_WELCOME,"Welcome to ToF multiplayer!"
TIP_ONLINE_HELP_1,"To start a new game, press the Create button on one of the free slots. If the button is disabled, it means that you need to download an online map first. Visit http://online.tof.p1x.in to find some! Once you have hosted a game, give the match code to your friend so they may join."
TIP_ONLINE_HELP_2,"While in a match, there is no time limit for you or your opponent to take a turn. Remember, you don't have to wait for your turn idly - you are free to play campaign, skirmish, or load into a different multiplayer match! Quitting the game is also an option, but would you do that?"
TIP_ONLINE_HELP_3,"You are limited to only four match slots, so remember to clear the ones, that have ended."
MSG_SPAWN_BLOCKED,SPAWN BLOCKED
MSG_MULTIPLAYER_LOBBY_HEADLINE,ONLINE MULTIPLAYER LOBBY
MSG_MULTIPLAYER_LOBBY_SUB,"you may have up to four simultaneous games"
LABEL_WORKSHOP_CLEAR_MAP,LIMPAR TUDO NO MAPA
MSG_WORKSHOP_FILL_MAP,PREENCHA O MAPA COM TILES DE GRAMA
LABEL_WORKSHOP_TILES,TÍTULOS
LABEL_PREVIEW,PREVISUALIZAR
MSG_ASK_UPLOAD,"BEGIN MAP UPLOAD?"
LABEL_GFX,GFX
LABEL_SOUND,SFX
LABEL_TOOLTIPS,TOOLTIPS
LABEL_CURRENT_TEAM,TIME ATUAL
LABEL_CURRENT_MAP,MAPA ATUAL
LABEL_AI_SPEED,VEL. DA IA
LABEL_CAMERA_MOVE_TO_BUNKER,MOVE CAMERA TO HQ
LABEL_CAMERA_SPEED,VEL. DA CÂMERA
LABEL_BLUE_TEAM_TURN,TURNO DO TIME AZUL
LABEL_RED_TEAM_TURN,TURNO DO TIME VERMELHO
LABEL_NO_MORE_MOVES,SEM MOVIMENTOS RESTANTES
