,pl
MSG_FREE_AS_FREEDOM,* WOLNA JAK WOLNOŚĆ, NIE JAK ŻÓŁŒ
MSG_INDIE_GAME,GRA NIEZALEŻNA
MSG_WORKSHOP_USE_UNIQUE_NAME,UŻYJ UNIKALNEJ NAZWY
MSG_WORKSHOP_CREATE_NEW_ISLAND,TWORZY NOWA WYSPĘ NA ŚRODKU MAPY
MSG_WORKSHOP_LOSE_MAP_DATA,STRACISZ CAŁĄ MAPĘ!
LABEL_GAME_OVER,KONIEC GRY
LABEL_DOMINATION,DOMINACJA
LABEL_MOVES,RUCHY
LABEL_DEPLOYED,ROZLOKOWANE
LABEL_ELIMITANTED,EYELIMINOWANE
LABEL_BLUE,NIEBIESKA
LABEL_RED,CZERWONA
LABEL_TURN,TURA
LABEL_TIME,CZAS
LABEL_TOTAL_SCORE,PUNKTACJA
LABEL_PLAYERS_TIME,CZAS GRACZA
LABEL_MENU,MENU
LABEL_PLAY_AGAIN,ZAGRAJ PONOWNIE
LABEL_REQUIES_RESTART,WYMAGA PONOWNEGO URUCHOMIENIA GRY
LABEL_LANGUAGE,JĘZYK
LABEL_OVERSCAN,OVERSCAN
