,en
LABEL_ACTION_POINTS,ACTION POINTS
LABEL_MAP_NAME,MAP NAME
LABEL_SELECT_UNIT,SELECT UNIT
LABEL_PLEASE_WAIT,PLEASE WAIT...
LABEL_SOUND_EFFECTS,SOUND EFFECTS
LABEL_MUSIC,MUSIC
LABEL_CAMERA_SHAKE,CAMERA SHAKE
LABEL_AUTO_FOLLOW,CAMERA AUTO FOLLOW
LABEL_ZOOM_LEVEL,ZOOM LEVEL
LABEL_BIGGER,BIGGER
LABEL_SMALLER,SMALLER
LABEL_WINDOW,WINDOW
LABEL_FULL_SCREEN,FULL SCREEN
LABEL_DIFFICULTY,DIFFICULTY
LABEL_WINS,WINS
LABEL_SETTINGS,SETTINGS
LABEL_BACK,BACK
LABEL_QUIT_GAME,QUIT GAME
LABEL_RUN_DEMO,RUN DEMO
LABEL_SKIRMISH,SKIRMISH
LABEL_MAP EDITOR,MAP EDITOR
LABEL_CAMPAIGN,CAMPAIGN
LABEL_COMPLETED,COMPLETED
LABEL_MAPS_CREATED,MAPS CREATED
LABEL_ONLINE,ONLINE
LABEL_MISSION,MISSION
LABEL_BLUE_TEAM,BLUE TEAM
LABEL_RED_TEAM,RED TEAM
LABEL_START,START
LABEL_MISSION_COMPLETED,MISSION COMPLETED
LABEL_PREVIOUS,PREVIOUS
LABEL_NEXT,NEXT
LABEL_NAME,NAME
LABEL_WORKSHOP_UNITS,UNITS
LABEL_WORKSHOP_BUILDINGS,BUILDINGS
LABEL_WORKSHOP_TERRAIN,TERRAIN
LABEL_WORKSHOP_FILES_MANAGER,FILES MANAGER
LABEL_WORKSHOP_PICK_MAP,PICK MAP
LABEL_WORKSHOP_FILE_SAVED,FILE SAVED
LABEL_WORKSHOP_TOOLBOX,TOOLBOX
LABEL_WORKSHOP_UNDO_BUILD,UNDO BUILD
LABEL_WORKSHOP_MOVE_MAP,MOVE MAP
LABEL_WORKSHOP_BUILD_TERRAIN,BUILD TERRAIN
LABEL_WORKSHOP_SELECTED_TOOL,SELECTED TOOL
LABEL_WORKSHOP_CREATE,CREATE
LABEL_WORKSHOP_SIZE,SIZE
LABEL_WORKSHOP_CLEAR_LAYERS,CLEAR LAYERS
LABEL_WORKSHOP_EREASE,EREASE
LABEL_WORKSHOP_PLAIN,PLAIN
LABEL_WORKSHOP_DIRT,DIRT
LABEL_WORKSHOP_FOREST,FOREST
LABEL_WORKSHOP_MOUNTAIN,MOUNTAIN
LABEL_WORKSHOP_RIVER,RIVER
LABEL_WORKSHOP_BRIDGE,BRIDGE
LABEL_WORKSHOP_CITY,CITY
LABEL_WORKSHOP_RUBBLE,RUBBLE
LABEL_WORKSHOP_STATUE,STATUE
LABEL_WORKSHOP_FENCE,FENCE
LABEL_WORKSHOP_ROAD#1,ROAD#1
LABEL_WORKSHOP_ROAD#2,ROAD#2
LABEL_WORKSHOP_HQ,HQ
LABEL_WORKSHOP_BARRACKS,BARRACKS
LABEL_WORKSHOP_FACTORY,FACTORY
LABEL_WORKSHOP_AIRPORT,AIRPORT
LABEL_WORKSHOP_SPAWN,SPAWN
LABEL_WORKSHOP_GSM_TOWER,GSM TOWER
LABEL_WORKSHOP_TOWER,TOWER
LABEL_WORKSHOP_INFANTRY,INFANTRY
LABEL_WORKSHOP_TANK,TANK
LABEL_WORKSHOP_HELI,HELI
MSG_NO_ENOUGH_AP,NO ENOUGH AP
MSG_START_YOUR_TURN_NOW,Start your turn now!
MSG_EMPTY_DISPLAY,&lt; NOTHING TO DISPLAY&#000a;&lt; SELECT UNIT OR BUILDING
MSG_GAME_DESCRIPTION,FREE* &amp; OPEN-SOURCE&#000a;TURN-BASED STRATEGY GAME
MSG_FREE_AS_FREEDOM,* FREE AS FREEDOM, NOT FREE AS IN FREE BEER
MSG_INDIE_GAME,INDIE GAME&#000a;DESIGN &amp; &#000a;DEVELOP
MSG_WORKSHOP_USE_UNIQUE_NAME,USE UNIQUE NAME
MSG_WORKSHOP_CREATE_NEW_ISLAND,CREATE NEW ISLAND IN THE CENTER
MSG_WORKSHOP_LOSE_MAP_DATA,YOU WILL LOSE MAP DATA!
LABEL_GAME_OVER,GAME OVER
LABEL_DOMINATION,DOMINATION
LABEL_MOVES,MOVES
LABEL_DEPLOYED,DEPLOYED
LABEL_ELIMINATED,ELIMINATED
LABEL_BLUE,BLUE
LABEL_RED,RED
LABEL_TURN,TURN
LABEL_TIME,TIME
LABEL_TOTAL_SCORE,TOTAL SCORE
LABEL_PLAYERS_TIME,PLAYERS TIME
LABEL_MENU,MENU
LABEL_PLAY_AGAIN,PLAY AGAIN
LABEL_REQUIES_RESTART,REQUIES GAME RESTART
LABEL_LANGUAGE,LANGUAGE
LABEL_OVERSCAN,OVERSCAN
LABEL_GAME_TIME,GAME TIME
LABEL_TURNS,TURNS
LABEL_BLUE_WINS,BLUE WINS
LABEL_RED_WINS,RED WINS
