,es
LABEL_NEXT_TURN_GAIN,PRÓX.TURNO GANAS
LABEL_ACTION_POINTS,PUNTOS DE ACCIÓN
LABEL_MAP_NAME,NOMBRE MAPA
LABEL_SELECT_UNIT,SELECCIONAR UNIDAD
LABEL_PLEASE_WAIT,POR FAVOR ESPERA...
LABEL_SOUND_EFFECTS,EFECTOS SONIDO
LABEL_MUSIC,MÚSICA
LABEL_CAMERA_SHAKE,SACUDIR CÁMARA
LABEL_AUTO_FOLLOW,SEGUIMIENTO AUTOMÁTICO CÁMARA
LABEL_ZOOM_LEVEL,NIVEL ZOOM
LABEL_BIGGER,MAYOR
LABEL_SMALLER,MENOR
LABEL_WINDOW,VENTANA
LABEL_FULL_SCREEN,PANTALLA COMPLETA
LABEL_DIFFICULTY,DIFICULTAD
LABEL_WINS,GANA
LABEL_SETTINGS,OPCIONES
LABEL_BACK,ATRÁS
LABEL_QUIT_GAME,SALIR
LABEL_RUN_DEMO,EJECUTAR DEMO
LABEL_SKIRMISH,ESCARAMUZA
LABEL_MAP EDITOR,EDITOR MAPA
LABEL_CAMPAIGN,CAMPAÑA
LABEL_COMPLETED,TERMINADO
LABEL_MAPS_CREATED,MAPAS CREADOS
LABEL_ONLINE,EN LÍNEA
LABEL_MISSION,MISIÓN
LABEL_BLUE_TEAM,EQUIPO AZUL
LABEL_RED_TEAM,EQUIPO ROJO
LABEL_START,COMENZAR
LABEL_MISSION_COMPLETED,MISIÓN COMPLETADA
LABEL_PREVIOUS,ANTERIOR
LABEL_NEXT,SIGUIENTE
LABEL_NAME,NOMBRE
LABEL_WORKSHOP_UNITS,UNIDADES
LABEL_WORKSHOP_BUILDINGS,EDIFICIOS
LABEL_WORKSHOP_TERRAIN,TERRENO
LABEL_WORKSHOP_FILES_MANAGER,GESTOR ARCHI.
LABEL_WORKSHOP_PICK_MAP,ELEGIR MAPA
LABEL_WORKSHOP_FILE_SAVED,ARCHIVO GUARDADO
LABEL_WORKSHOP_TOOLBOX,OPCIONES
LABEL_WORKSHOP_UNDO_BUILD,DESHACER
LABEL_WORKSHOP_MOVE_MAP,MOVER MAPA
LABEL_WORKSHOP_BUILD_TERRAIN,CONSTRUIR TERRENO
LABEL_WORKSHOP_SELECTED_TOOL,HERRAMIENTA SELECCIONADA
LABEL_WORKSHOP_CREATE,CREAR
LABEL_WORKSHOP_SIZE,TAMAÑO
LABEL_WORKSHOP_CLEAR_LAYERS,LIMPIAR CAPAS
LABEL_WORKSHOP_EREASE,BORRAR
LABEL_WORKSHOP_PLAIN,LLANURA
LABEL_WORKSHOP_DIRT,SUCIEDAD
LABEL_WORKSHOP_FOREST,BOSQUE
LABEL_WORKSHOP_MOUNTAIN,MONTAÑA
LABEL_WORKSHOP_RIVER,RÍO
LABEL_WORKSHOP_BRIDGE,PUENTE
LABEL_WORKSHOP_CITY,CIUDAD
LABEL_WORKSHOP_RUBBLE,ESCOMBROS
LABEL_WORKSHOP_STATUE,ESTATUA
LABEL_WORKSHOP_FENCE,CERCA
LABEL_WORKSHOP_ROAD#1,CAMINO#1
LABEL_WORKSHOP_ROAD#2,CAMINO#2
LABEL_WORKSHOP_HQ,CG
LABEL_WORKSHOP_BARRACKS,BARRACON
LABEL_WORKSHOP_FACTORY,FÁBRICA
LABEL_WORKSHOP_AIRPORT,AEROPUERTO
LABEL_WORKSHOP_SPAWN,P. SALIDA
LABEL_WORKSHOP_GSM_TOWER,T. GSM
LABEL_WORKSHOP_TOWER,TORRE
LABEL_WORKSHOP_INFANTRY,SOLDADO
LABEL_WORKSHOP_TANK,TANQUE
LABEL_WORKSHOP_HELI,HELI
LABEL_WORKSHOP_CIVILIAN,CIVIL
LABEL_WORKSHOP_CONCRETE,HORMIGÓN
MSG_NO_ENOUGH_AP,NO HAY SUFICIENTE PA
MSG_START_YOUR_TURN_NOW,¡Ahora comienza tu turno!
MSG_EMPTY_DISPLAY,&lt; NADA QUE MOSTRAR&#000a;&lt; SELECCIONA UNA UNIDAD O EDIFICIO
MSG_GAME_DESCRIPTION_1,FREE* & OPEN-SOURCE
MSG_GAME_DESCRIPTION_2,TURN-BASED STRATEGY GAME
MSG_FREE_AS_FREEDOM,"* FREE AS FREEDOM, NOT FREE AS IN FREE BEER"
MSG_INDIE_GAME,INDIE GAME&#000a;DISEÑO &amp; &#000a;DESARROLLO
MSG_WORKSHOP_USE_UNIQUE_NAME,UTILIZA UN NOMBRE ÚNICO
MSG_WORKSHOP_CREATE_NEW_ISLAND,CREAR NUEVA ISLA
MSG_WORKSHOP_LOSE_MAP_DATA,¡PERDERÁS LOS DATOS DEL MAPA!
LABEL_GAME_OVER,FIN DEL JUEGO
LABEL_DOMINATION,DOMINACIÓN
LABEL_MOVES,MUEVES
LABEL_DEPLOYED,DESPLEGADO
LABEL_ELIMINATED,ELIMINADO
LABEL_BLUE,AZUL
LABEL_RED,ROJO
LABEL_TURN,TURNO
LABEL_TIME,TIEMPO
LABEL_TOTAL_SCORE,TOTAL PUNTOS
LABEL_PLAYERS_TIME,TIEMPO JUGADORES
LABEL_MENU,MENÚ
LABEL_PLAY_AGAIN,JUGAR DE NUEVO
LABEL_REQUIES_RESTART,SE REQUIERE REINICIAR EL MAPA
LABEL_LANGUAGE,IDIOMA
LABEL_OVERSCAN,OVERSCAN
LABEL_GAME_TIME,TIEMPO DE JUEGO
LABEL_TURNS,TURNOS
LABEL_BLUE_WINS,AZUL GANA
LABEL_RED_WINS,ROJO GANA
LABEL_PLAYING_AS,JUGANDO COMO
LABEL_MAPS,MAPAS
LABEL_PAGE,PÁGINA
LABEL_WORKSHOP_SAVE,GUARDAR
LABEL_WORKSHOP_LOAD,CARGAR
LABEL_MAP_TO_UPLOAD,Mapa para subir
LABEL_PROCEED_QUESTION,"¿Proceder?"
LABEL_UPLOAD_MAP,Subir mapa
LABEL_UPLOAD,Subir
LABEL_CANCEL,Cancelar
TIP_COMPLETE_MAP_FIRST,"Primero debes completar este mapa en modo escaramuza para poder subirlo."
LABEL_GOT_IT,"¡Lo tengo!"
LABEL_ONLINE_MENU,MAPAS ONLINE
MSG_ONLINE_MENU_DESC,"¡DESCARGA NUEVOS MAPAS O COMPARTE TUS PROPIAS CREACIONES CON EL MUNDO!"
TIP_UPLOADING_WAIT,"¡Subiendo! Por favor espera."
TIP_UPLOADING_SUCCESS,"¡Subido correctamente! Ahora puedes compartir el código de tu nuevo mapa con tus amigos: "
TIP_UPLOADING_FAIL,"Subida fallida. Por favor, inténtalo de nuevo más tarde."
LABEL_DONE,Hecho
TIP_WELCOME_ONLINE,"¡Bienvenido/a a ToF Online!"
TIP_NEED_REGISTER,"Antes de que puedas empezar a utilizar las opciones online, debemos registrar su dispositivo con nuestro sistema online."
LABEL_REGISTER,Registro
LABEL_LATER,"Quiza más tarde"
LABEL_REGISTER_PLAYER,"Registrar jugador/a"
TIP_REQUESTING_PLAYER_ID,"¡Solicitando ID del jugador/a! Por favor espera."
TIP_REQUESTING_PLAYER_FAIL,"Solicitud de ID del jugador/a incorrecta. Por favor, intententalo de nuevo más tarde."
TIP_REQUESTING_PLAYER_SUCCESS,"Solicitud de ID del jugador/a correcta. ¡Bienvenido/a a ToF Online!"
LABEL_DOWNLOAD_MAP,Descargar mapa
TIP_INPUT_CODE,"Por favor inserta el código del mapa"
LABEL_DOWNLOAD,Descargar
TIP_DOWNLOADING_WAIT,"¡Descargando el mapa! Por favor espera."
TIP_MAP_DOWNLOAD_SUCCESS,"El mapa ha sido descargado."
TIP_MAP_DOWNLOAD_FAIL,"No se pudo descargar el mapa. Verifica si el código es correcto y vuelve a intentarlo."
LABEL_PLAY_AGAIN,JUGAR DE NUEVO
LABEL_VERSION,Versión
TITLE_GAMEPAD_CONFIG,CONFIGURACIÓN GAMEPAD
LABEL_PREVIOUS_UNIT,SELECCIONAR UNIDAD ANTERIOR
LABEL_NEXT_UNIT,SELECCIONAR UNIDAD SIGUIENTE
LABEL_SELECTOR_MOVEMENT,MOVER SELECTOR DE CAMPO
LABEL_GAME_MENU_MOVEMENT,MENÚ DE NAVEGACIÓN
LABEL_END_TURN,FIN TURNO
LABEL_BACK_TO_MENU,ABRIR MENÚ PRINCIPAL
LABEL_SELECT,REALIZAR UNA ACCIÓN
LABEL_DEPLOY_UNIT,COMPRAR NUEVA UNIDAD
LABEL_GAMEPAD_INFO,INFO GAMEPAD
LABEL_WORKSHOP_THEME,TEMA DEL MAPA
LABEL_SUMMER,VERANO
LABEL_FALL,OTOÑO
LABEL_WINTER,INVIERNO
LABEL_WORKSHOP_FAILURE,OPERACIÓN FALLIDA
MSG_WORKSHOP_FILE_ERROR_NAME,"El nombre del mapa solo puede contener caracteres alfanuméricos y el signo de guión bajo."
MSG_WORKSHOP_FILE_NOT_FOUND,"El mapa con el nombre especificado no existe."
MSG_WORKSHOP_CHECK_TYPOS,"Por favor vuelve a comprobar el nombre del archivo"
LABEL_OK,OK
LABEL_NEXT_TURN,FINALIZAR TURNO
LABEL_CPU_TURN,TURNO CPU
LABEL_REFRESHING_MATCHES,ACTUALIZANDO PARTIDAS
TIP_REFRESHING_WAIT,"ACTUALIZANDO LISTA PARTIDAS EN LÍNEA. POR FAVOR ESPERA..."
LABEL_CREATE_MATCH,CREAR PARTIDA
MSG_CONFIRM_CREATE,¿QUIERES ALOJAR UNA NUEVA PARTIDA?
LABEL_PROCEED,PROCEDER
LABEL_PICK_SIDE,ELIGE FACCIÓN
MSG_PICK_SIDE,ELIJE LA FACCIÓN QUE QUIERES JUGAR
MSG_SELECTED_MAP,"MAPA SELECCIONADO: "
MSG_SELECTED_SIDE,"FACCIÓN SELECCIONADA: "
MSG_READY_TO_CREATE,"¿CREAR PARTIDA?"
MSG_CREATING_MATCH_WAIT,"CREANDO UNA NUEVA PARTIDA. POR FAVOR ESPERA..."
LABEL_FAILURE,"OPERACIÓN FALLIDA"
MSG_OPERATION_FAILED,"OPERACIÓN DE RED FALLIDA. POR FAVOR COMPRUEBA TU CONEXIÓN A INTERNET Y PRUEBA DE NUEVO."
LABEL_JOIN_MATCH,"UNIRSE A UNA PARTIDA"
MSG_INPUT_MATCH_CODE,"CÓDIGO PARA UNIRSE A LA PARTIDA"
LABEL_JOIN,UNIRSE
MSG_ALREADY_IN_MATCH,YA ESTÁS EN ESA PARTIDA
MSG_FETCHING_MATCH_DETAILS,"OBTENIENDO DETALLES DE LA PARTIDA. POR FAVOR ESPERA..."
MAG_AVAILABLE_SIDE,"FACCIÓN DISPONIBLE: "
MAG_PROCEED_JOIN,"¿UNIRSE A ESTA PARTIDA?"
MSG_JOINING_MATCH_WAIT,"UNIÉNDOSE A UNA PARTIDA. POR FAVOR ESPERA..."
LABEL_MATCH_CODE,"CÓDIGO PARTIDA: "
LABEL_YOUR_TURN,"TU TURNO"
LABEL_ENEMY_TURN,"TURNO DEL OPONENTE"
LABEL_YOU_WIN,"GANASTE"
LABEL_YOU_LOSE,"PERDISTE"
LABEL_NEW_MATCH,"NUEVA PARTIDA"
LABEL_MATCH_IN_PROGRESS,"EN PROGRESO"
LABEL_MATCH_ENDED,"PARTIDA FINALIZADA"
LABEL_MATCH_FORFEIT,"EL OPONENTE HA ABANDONADO"
LABEL_MAP_CODE,"MAPA: "
LABEL_INVALID_MATCH,"PARTIDA INVÁLIDA"
LABEL_ABANDON_MATCH,"ABANDONAR PARTIDA"
MAG_ABANDON_MATCH,"¿ESTÁS SEGURO DE QUE QUIERES ABANDONAR? NO PODRÁS CONTINUAR LA PARTIDA."
LABEL_CLEAR_SLOT,"LIMPIAR RANURA DEL JUEGO"
MSG_CLEARING_SLOT_WAIT,"LIMPIANDO LA RANURA DEL JUEGO. POR FAVOR ESPERA..."
LABEL_SHOW_REPLAY,"MOSTRAR REPETICIÓN"
MSG_SHOW_REPLAY,"¿QUIERES VER LA REPETICIÓN DEL TURNO DE LOS OPONENTES?"
LABEL_REPLAY,"REPETICIÓN"
LABEL_SKIP,"OMITIR"
LABEL_LOADING_MATCH,"CARGANDO PARTIDA"
MSG_LOADING_MATCH_WAIT,"CARGANDO DATOS PARTIDA. POR FAVOR ESPERE..."
MSG_OPPONENT_WAIT,"ESPERANDO OPONENTE..."
MSG_CHECKING_STATE,"COMPROBANDO NUEVOS MOVIMIENTOS..."
LABEL_REPLAYING_MOVES,"REPETIR TURNO"
LABEL_REFRESH,REFRESCAR
LABEL_MULTIPLAYER,MULTIJUGADOR
LABEL_CREATE,CREAR
LABEL_FORFEIT,PERDER
LABEL_CLEAR,LIMPIAR
LABEL_HELP,AYUDA
MSG_MULTIPLAYER_WELCOME,"¡Bienvenido al modo multijugador de ToF!"
TIP_ONLINE_HELP_1,"Para empezar una partida, presiona el botón Crear en uno de los espacios libres. Si el botón está desactivado, significa que primero debes descargar un mapa online. ¡Visita http://online.tof.p1x.in para encontrar algunos! Una vez hayas alojado un juego, dale el código de la partida a tu amigo para que se una."
TIP_ONLINE_HELP_2,"Mientras estás en una partida, no hay límite de tiempo para que tú o tu oponente termine el turno. Recuerda, no tienes que esperar a que llegue tu turno sin hacer nada - ¡eres libre de jugar campañas, escaramuzas o alojar una partida multijugador diferente! Dejar el juego también es una opción, pero ¿harías eso?"
TIP_ONLINE_HELP_3,"Estás limitado/a a solo cuatro espacios para partidas, así que recuerda borrar los que hayas terminado."
MSG_SPAWN_BLOCKED,PUNTO DE SALIDA BLOQUEADO
MSG_MULTIPLAYER_LOBBY_HEADLINE,MODO MULTIJUGADOR
MSG_MULTIPLAYER_LOBBY_SUB,"puedes tener hasta cuatro juegos simultáneos"
LABEL_WORKSHOP_CLEAR_MAP,BORRAR TODO EN EL MAPA
MSG_WORKSHOP_FILL_MAP,LLENA EL MAPA CON AZULEJOS DE HIERBA
LABEL_WORKSHOP_TILES,AZULEJOS
LABEL_PREVIEW,PREVISUALIZAR
MSG_ASK_UPLOAD,"¿COMENZAR LA CARGA DEL MAPA?"
LABEL_GFX,GFX
LABEL_SOUND,SFX
LABEL_TOOLTIPS,DESCRIPCIONES EMERGENTES
LABEL_CURRENT_TEAM,EQUIPO ACTUAL
LABEL_CURRENT_MAP,MAPA ACTUAL
LABEL_AI_SPEED,VELOCIDAD IA
LABEL_CAMERA_MOVE_TO_BUNKER,MOVER CÁMARA CG
LABEL_CAMERA_SPEED,VELOCIDAD CÁMARA
LABEL_BLUE_TEAM_TURN,TURNO EQUIPO AZUL
LABEL_RED_TEAM_TURN,TURNO EQUIPO ROJO
LABEL_NO_MORE_MOVES,NO QUEDAN MOVIMIENTOS
