,ja
LABEL_SOUND_EFFECTS,サウンド効果
LABEL_MUSIC,音楽
LABEL_CAMERA_SHAKE,手振れ
LABEL_AUTO_FOLLOW,カメラ自動追尾
LABEL_ZOOM_LEVEL,ズームレベル
LABEL_BIGGER,大きく
LABEL_SMALLER,小さく
LABEL_WINDOW,ウインドウ
LABEL_FULL_SCREEN,全画面
LABEL_DIFFICULTY,難度
LABEL_WINS,勝ち
LABEL_SETTINGS,設定
LABEL_BACK,戻る
LABEL_QUIT_GAME,ゲームを終了
LABEL_RUN_DEMO,デモを実行
LABEL_SKIRMISH,戦闘
LABEL_MAP EDITOR,マップエディター
LABEL_CAMPAIGN,遠征
LABEL_COMPLETED,完了
LABEL_MAPS_CREATED,マップを作成しました
LABEL_ONLINE,オンライン
LABEL_MISSION,ミッション
LABEL_BLUE_TEAM,ブルーチーム
LABEL_RED_TEAM,レッドチーム
LABEL_START,開始
LABEL_MISSION_COMPLETED,ミッション完了
LABEL_PREVIOUS,前
LABEL_NEXT,次
LABEL_NAME,名前
LABEL_WORKSHOP_UNITS,部隊
LABEL_WORKSHOP_BUILDINGS,建物
LABEL_WORKSHOP_TERRAIN,地形
LABEL_WORKSHOP_FILES_MANAGER,ファイル管理
LABEL_WORKSHOP_PICK_MAP,マップを選択
LABEL_WORKSHOP_FILE_SAVED,ファイルを保存しました
LABEL_WORKSHOP_TOOLBOX,ツールボックス
LABEL_WORKSHOP_UNDO_BUILD,構築を元に戻す
LABEL_WORKSHOP_MOVE_MAP,マップを移動
LABEL_WORKSHOP_BUILD_TERRAIN,地形を構築
LABEL_WORKSHOP_SELECTED_TOOL,選択したツール
LABEL_WORKSHOP_CREATE,作成
LABEL_WORKSHOP_SIZE,サイズ
LABEL_WORKSHOP_CLEAR_LAYERS,レイヤーをクリア
LABEL_WORKSHOP_EREASE,消去
LABEL_WORKSHOP_PLAIN,平地
LABEL_WORKSHOP_DIRT,ダート
LABEL_WORKSHOP_FOREST,森
LABEL_WORKSHOP_MOUNTAIN,山
LABEL_WORKSHOP_RIVER,川
LABEL_WORKSHOP_BRIDGE,橋
LABEL_WORKSHOP_CITY,都市
LABEL_WORKSHOP_RUBBLE,瓦礫
LABEL_WORKSHOP_STATUE,像
LABEL_WORKSHOP_FENCE,フェンス
LABEL_WORKSHOP_ROAD#1,道路#1
LABEL_WORKSHOP_ROAD#2,道路#2
LABEL_WORKSHOP_HQ,司令部
LABEL_WORKSHOP_BARRACKS,兵舎
LABEL_WORKSHOP_FACTORY,工場
LABEL_WORKSHOP_AIRPORT,空港
LABEL_WORKSHOP_SPAWN,スポーン
LABEL_WORKSHOP_GSM_TOWER,GSM タワー
LABEL_WORKSHOP_TOWER,タワー
LABEL_WORKSHOP_INFANTRY,歩兵
LABEL_WORKSHOP_TANK,戦車
LABEL_WORKSHOP_HELI,ヘリ
LABEL_WORKSHOP_CIVILIAN,民間人
LABEL_WORKSHOP_CONCRETE,コンクリート
MSG_NO_ENOUGH_AP,AP が足りません
MSG_START_YOUR_TURN_NOW,順番を開始してください!
MSG_EMPTY_DISPLAY,&lt; 表示するものがありません&#000a;&lt; 部隊または建物を選択してください
MSG_GAME_DESCRIPTION_1,フリー* & オープンソース
MSG_GAME_DESCRIPTION_2,順番制の戦略ゲーム
MSG_FREE_AS_FREEDOM,"* アルコールフリービールのフリーではなく、自由としてのフリー"
MSG_INDIE_GAME,インディーゲーム&#000a;デザイン &amp; &#000a;開発
MSG_WORKSHOP_USE_UNIQUE_NAME,固有の名前を使用してください
MSG_WORKSHOP_CREATE_NEW_ISLAND,新しい島を作成
MSG_WORKSHOP_LOSE_MAP_DATA,マップデータがなくなります!
LABEL_GAME_OVER,ゲームオーバー
LABEL_DOMINATION,制覇
LABEL_MOVES,移動
LABEL_DEPLOYED,配備済
LABEL_ELIMINATED,消滅
LABEL_BLUE,ブルー
LABEL_RED,レッド
LABEL_TURN,順番
LABEL_TIME,時間
LABEL_TOTAL_SCORE,トータルスコア
LABEL_PLAYERS_TIME,プレイヤーの時間
LABEL_MENU,メニュー
LABEL_PLAY_AGAIN,もう一度プレイ
LABEL_REQUIES_RESTART,マップの再開が必要
LABEL_LANGUAGE,言語
LABEL_OVERSCAN,オーバースキャン
LABEL_GAME_TIME,ゲーム時間
LABEL_TURNS,手
LABEL_BLUE_WINS,ブルーの勝ち
LABEL_RED_WINS,レッドの勝ち
LABEL_PLAYING_AS,プレー中
LABEL_MAPS,マップ
LABEL_PAGE,ページ
LABEL_WORKSHOP_SAVE,セーブ
LABEL_WORKSHOP_LOAD,ロード
LABEL_MAP_TO_UPLOAD,アップロードするマップ
LABEL_PROCEED_QUESTION,"続行しますか?"
LABEL_UPLOAD_MAP,マップをアップロード
LABEL_UPLOAD,アップロード
LABEL_CANCEL,キャンセル
TIP_COMPLETE_MAP_FIRST,"アップロードできるようにするには、まずこのマップを戦闘モードを完了する必要があります。"
LABEL_GOT_IT,"やりました!"
LABEL_ONLINE_MENU,オンラインマップ
MSG_ONLINE_MENU_DESC,"新しい地図をダウンロードするか、あなた独自の作成物を世界と共有しましょう!"
TIP_UPLOADING_WAIT,"アップロード中! しばらくお待ちください。"
TIP_UPLOADING_SUCCESS,"アップロードしました! 友達と新しいマップコードを共有できるようになりました: "
TIP_UPLOADING_FAIL,"アップロードに失敗しました。後でもう一度やり直してください。"
LABEL_DONE,完了
TIP_WELCOME_ONLINE,"ToF オンラインにようこそ!"
TIP_NEED_REGISTER,"オンラインオプションを開始する前に、デバイスをオンラインシステムに登録する必要があります。"
LABEL_REGISTER,登録
LABEL_LATER,"たぶん後で"
LABEL_REGISTER_PLAYER,"登録プレイヤー"
TIP_REQUESTING_PLAYER_ID,"プレイヤー ID のリクエスト中! しばらくお待ちください。"
TIP_REQUESTING_PLAYER_FAIL,"プレイヤー ID のリクエストに失敗しました。 後でもう一度やり直してください。"
TIP_REQUESTING_PLAYER_SUCCESS,"プレイヤー ID のリクエストに成功しました。 ToF オンラインへようこそ!"
LABEL_DOWNLOAD_MAP,マップをダウンロード
TIP_INPUT_CODE,"マップコードを入力してください"
LABEL_DOWNLOAD,ダウンロード
TIP_DOWNLOADING_WAIT,"マップのダウンロード中! しばらくお待ちください。"
TIP_MAP_DOWNLOAD_SUCCESS,"マップをダウンロードしました。"
TIP_MAP_DOWNLOAD_FAIL,"マップをダウンロードできませんでした。コードが正しいか確認して、もう一度やり直してください。"
LABEL_PLAY_AGAIN,もう一度プレイ
LABEL_VERSION,バージョン
TITLE_GAMEPAD_CONFIG,ゲームパッドの設定
LABEL_PREVIOUS_UNIT,前の部隊を選択
LABEL_NEXT_UNIT,次の部隊を選択
LABEL_SELECTOR_MOVEMENT,フィールドセレクタを移動
LABEL_GAME_MENU_MOVEMENT,ナビゲートメニュー
LABEL_END_TURN,あなたの順番の終了
LABEL_BACK_TO_MENU,メインメニューを開く
LABEL_SELECT,アクションを実行
LABEL_DEPLOY_UNIT,新しい部隊を購入
LABEL_GAMEPAD_INFO,ゲームパッド情報
LABEL_WORKSHOP_THEME,マップのテーマ
LABEL_SUMMER,夏
LABEL_FALL,秋
LABEL_WINTER,冬
LABEL_WORKSHOP_FAILURE,操作に失敗しました
MSG_WORKSHOP_FILE_ERROR_NAME,"マップ名には、英数字とアンダースコアのみを使用できます。"
MSG_WORKSHOP_FILE_NOT_FOUND,"指定された名前のマップは存在しません。"
MSG_WORKSHOP_CHECK_TYPOS,"ファイル名をもう一度確認してください"
LABEL_OK,OK
LABEL_NEXT_TURN,順番の終了
LABEL_CPU_TURN,CPU の順番
LABEL_REFRESHING_MATCHES,対戦の更新中
TIP_REFRESHING_WAIT,"オンライン対戦リストを更新しています。 しばらくお待ちください..."
LABEL_CREATE_MATCH,対戦を作成
MSG_CONFIRM_CREATE,新しい対戦を開催しますか?
LABEL_PROCEED,続行
LABEL_PICK_SIDE,サイドを選択
MSG_PICK_SIDE,プレイしたいサイドを選択してください
MSG_SELECTED_MAP,"選択したマップ: "
MSG_SELECTED_SIDE,"選択したサイド: "
MSG_READY_TO_CREATE,"対戦を作成しますか?"
MSG_CREATING_MATCH_WAIT,"新しい対戦を作成しています。 しばらくお待ちください..."
LABEL_FAILURE,"操作に失敗しました"
MSG_OPERATION_FAILED,"ネットワーク操作に失敗しました。 インターネット接続を確認して、もう一度やり直してください。"
LABEL_JOIN_MATCH,"対戦に参加"
MSG_INPUT_MATCH_CODE,"対戦参加コードを入力"
LABEL_JOIN,参加
MSG_ALREADY_IN_MATCH,すでに対戦に参加しています
MSG_FETCHING_MATCH_DETAILS,"対戦の詳細を取得しています。 しばらくお待ちください..."
MAG_AVAILABLE_SIDE,"参加可能なサイド: "
MAG_PROCEED_JOIN,"この対戦に参加しますか?"
MSG_JOINING_MATCH_WAIT,"対戦に参加しています。 しばらくお待ちください..."
LABEL_MATCH_CODE,"対戦コード: "
LABEL_YOUR_TURN,"あなたの順番"
LABEL_ENEMY_TURN,"相手の順番"
LABEL_YOU_WIN,"あなたの勝ち"
LABEL_YOU_LOSE,"あなたの負け"
LABEL_NEW_MATCH,"新しい対戦"
LABEL_MATCH_IN_PROGRESS,"進行中"
LABEL_MATCH_ENDED,"対戦終了"
LABEL_MATCH_FORFEIT,"相手の残り"
LABEL_MAP_CODE,"マップ: "
LABEL_INVALID_MATCH,"無効な対戦"
LABEL_ABANDON_MATCH,"対戦を放棄"
MAG_ABANDON_MATCH,"この対戦を放棄してもよろしいですか? このゲームを続行できません。"
LABEL_CLEAR_SLOT,"ゲームスロットをクリア"
MSG_CLEARING_SLOT_WAIT,"ゲームスロットをクリアしています。 しばらくお待ちください..."
LABEL_SHOW_REPLAY,"リプレイを表示"
MSG_SHOW_REPLAY,"相手のリプレイを見ますか?"
LABEL_REPLAY,"リプレイ"
LABEL_SKIP,"スキップ"
LABEL_LOADING_MATCH,"対戦のロード中"
MSG_LOADING_MATCH_WAIT,"対戦データをロードしています。 しばらくお待ちください..."
MSG_OPPONENT_WAIT,"相手を待っています..."
MSG_CHECKING_STATE,"新しい移動を確認しています..."
LABEL_REPLAYING_MOVES,"リプレイ中"
LABEL_REFRESH,更新
LABEL_MULTIPLAYER,マルチプレイヤー
LABEL_CREATE,作成
LABEL_FORFEIT,没収
LABEL_CLEAR,クリア
LABEL_HELP,ヘルプ
MSG_MULTIPLAYER_WELCOME,"ToF マルチプレイヤーへようこそ!"
TIP_ONLINE_HELP_1,"新しいゲームを開始するには、空きスロットの1つで作成ボタンを使用します。 ボタンが無効になっている場合は、最初にオンラインマップをダウンロードする必要があることを意味しています。 https://online.tof.p1x.in で見つけてください! ゲームを開催したら、あなたの友達に対戦コードを渡します。そうすれば参加できます。"
TIP_ONLINE_HELP_2,"対戦中は、あなたや相手の順番に時間制限はありません。 あなたの順番を無駄に待つ必要はないことを覚えておいてください - 自由に遠征をプレイしたり、戦闘したり、別のマルチプレイヤー対戦に参加することができます! ゲームを終了することも選択肢ですが、そうしますか?"
TIP_ONLINE_HELP_3,"対戦スロットは4つに制限されているので、終了したスロットをクリアするのを忘れないでください。"
MSG_SPAWN_BLOCKED,スポーンがブロックされました
MSG_MULTIPLAYER_LOBBY_HEADLINE,オンライン マルチプレイヤー ロビー
MSG_MULTIPLAYER_LOBBY_SUB,"あなたは最大4つまで同時にゲームをすることができます"
LABEL_WORKSHOP_CLEAR_MAP,マップをすべてクリア
MSG_WORKSHOP_FILL_MAP,マップを芝生タイルで埋める
LABEL_WORKSHOP_TILES,タイル
LABEL_PREVIEW,プレビュー
MSG_ASK_UPLOAD,"マップのアップロードを開始しますか?"
LABEL_GFX,GFX
LABEL_SOUND,SFX
LABEL_TOOLTIPS,TOOLTIPS
LABEL_CURRENT_TEAM,CURRENT TEAM
LABEL_CURRENT_MAP,CURRENT MAP
LABEL_AI_SPEED,AI SPEED
LABEL_CAMERA_MOVE_TO_BUNKER,MOVE CAMERA TO HQ
LABEL_CAMERA_SPEED,CAMERA SPEED
LABEL_BLUE_TEAM_TURN,BLUE TEAM TURN
LABEL_RED_TEAM_TURN,RED TEAM TURN
LABEL_NO_MORE_MOVES,NO MOVES LEFT
